threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.107,844,4320,81178,2239,5164,0.16343919442292795,0.2737593253324684,0.0505274977192449,0.05829692597735406,76232.34,86400.0,-10167.660000000003
0.108,844,4320,81178,2239,5164,0.16343919442292795,0.2737593253324684,0.0505274977192449,0.05829692597735406,76232.34,86400.0,-10167.660000000003
0.109,844,4319,81179,2239,5163,0.16347085028084446,0.2737593253324684,0.050515801539217295,0.05828563687472483,76232.34,86380.0,-10147.660000000003
0.11,844,4319,81179,2239,5163,0.16347085028084446,0.2737593253324684,0.050515801539217295,0.05828563687472483,76232.34,86380.0,-10147.660000000003
0.111,844,4319,81179,2239,5163,0.16347085028084446,0.2737593253324684,0.050515801539217295,0.05828563687472483,76232.34,86380.0,-10147.660000000003
0.112,844,4319,81179,2239,5163,0.16347085028084446,0.2737593253324684,0.050515801539217295,0.05828563687472483,76232.34,86380.0,-10147.660000000003
0.113,702,3101,82397,2381,3803,0.18459111227977912,0.22770029192345118,0.036269854265596854,0.04293245729896931,64962.35360000001,62020.0,2942.3536000000095
0.114,577,2058,83440,2506,2635,0.21897533206831118,0.18715536814790787,0.024070738496806944,0.029746785428026327,56711.9944,41160.0,15551.994400000003
0.115,577,2058,83440,2506,2635,0.21897533206831118,0.18715536814790787,0.024070738496806944,0.029746785428026327,56711.9944,41160.0,15551.994400000003
0.116,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.117,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.11800000000000001,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.11900000000000001,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.12,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.121,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.122,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.123,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.124,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.125,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.126,550,1874,83624,2533,2424,0.2268976897689769,0.17839766461239054,0.021918641371727995,0.027364784773258374,55454.304,37480.0,17974.303999999996
0.127,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.128,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.129,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.13,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.131,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.132,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.133,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.134,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.135,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.136,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.137,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.138,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.139,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.14,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.14100000000000001,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.14200000000000002,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.14300000000000002,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.14400000000000002,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.145,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.146,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.147,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.148,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.149,384,1126,84372,2699,1510,0.2543046357615894,0.12455400583846903,0.01316989871108096,0.017046544970140323,39991.804000000004,22520.0,17471.804000000004
0.15,383,1125,84373,2700,1508,0.2539787798408488,0.12422964644826467,0.013158202531053358,0.01702396676488186,39944.1936,22500.0,17444.1936
0.151,383,1125,84373,2700,1508,0.2539787798408488,0.12422964644826467,0.013158202531053358,0.01702396676488186,39944.1936,22500.0,17444.1936
0.152,383,1124,84374,2700,1507,0.2541473125414731,0.12422964644826467,0.013146506351025756,0.017012677662252628,39944.1936,22480.0,17464.1936
0.153,383,1124,84374,2700,1507,0.2541473125414731,0.12422964644826467,0.013146506351025756,0.017012677662252628,39944.1936,22480.0,17464.1936
0.154,383,1124,84374,2700,1507,0.2541473125414731,0.12422964644826467,0.013146506351025756,0.017012677662252628,39944.1936,22480.0,17464.1936
0.155,383,1124,84374,2700,1507,0.2541473125414731,0.12422964644826467,0.013146506351025756,0.017012677662252628,39944.1936,22480.0,17464.1936
0.156,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.157,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.158,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.159,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.16,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.161,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
