policy_family,intervention_count,fpr_budget,tp,fp,tn,fn,precision,recall,fpr,intervention_rate,verify_count,review_count,hold_count,loss_avoided,intervention_cost,net_value
BALANCED,1377,0.01,580,797,84742,2462,0.4212055192447349,0.19066403681788296,0.009317387390547003,0.015545094320452467,1377,0,0,85438.50160000002,27540.0,57898.50160000002
BALANCED,1378,0.01,580,798,84741,2462,0.420899854862119,0.19066403681788296,0.009329077964437275,0.0155563834230817,1378,0,0,85438.50160000002,27560.0,57878.50160000002
BALANCED,1379,0.01,580,799,84740,2462,0.4205946337926033,0.19066403681788296,0.009340768538327547,0.01556767252571093,1379,0,0,85438.50160000002,27580.0,57858.50160000002
BALANCED,1380,0.01,580,800,84739,2462,0.42028985507246375,0.19066403681788296,0.009352459112217819,0.015578961628340163,1380,0,0,85438.50160000002,27600.0,57838.50160000002
BALANCED,1381,0.01,580,801,84738,2462,0.41998551774076753,0.19066403681788296,0.009364149686108091,0.015590250730969396,1381,0,0,85438.50160000002,27620.0,57818.50160000002
BALANCED,1382,0.01,581,801,84738,2461,0.4204052098408104,0.19099276791584485,0.009364149686108091,0.015601539833598627,1382,0,0,85467.2744,27640.0,57827.274399999995
BALANCED,1383,0.01,581,802,84737,2461,0.4201012292118583,0.19099276791584485,0.009375840259998363,0.01561282893622786,1383,0,0,85467.2744,27660.0,57807.274399999995
BALANCED,1384,0.01,581,803,84736,2461,0.4197976878612717,0.19099276791584485,0.009387530833888635,0.01562411803885709,1384,0,0,85467.2744,27680.0,57787.274399999995
BALANCED,1385,0.01,582,803,84736,2460,0.4202166064981949,0.1913214990138067,0.009387530833888635,0.015635407141486323,1385,0,0,85498.8504,27700.0,57798.850399999996
BALANCED,1386,0.01,583,803,84736,2459,0.42063492063492064,0.19165023011176857,0.009387530833888635,0.015646696244115556,1386,0,0,85920.45040000002,27720.0,58200.450400000016
BALANCED,1387,0.01,583,804,84735,2459,0.42033165104542175,0.19165023011176857,0.009399221407778907,0.01565798534674479,1387,0,0,85920.45040000002,27740.0,58180.450400000016
BALANCED,1388,0.01,583,805,84734,2459,0.420028818443804,0.19165023011176857,0.009410911981669181,0.015669274449374018,1388,0,0,85920.45040000002,27760.0,58160.450400000016
BALANCED,1389,0.01,583,806,84733,2459,0.4197264218862491,0.19165023011176857,0.009422602555559453,0.01568056355200325,1389,0,0,85920.45040000002,27780.0,58140.450400000016
BALANCED,1390,0.01,584,806,84733,2458,0.4201438848920863,0.19197896120973043,0.009422602555559453,0.015691852654632483,1390,0,0,86715.6504,27800.0,58915.6504
BALANCED,1391,0.01,584,807,84732,2458,0.41984184040258804,0.19197896120973043,0.009434293129449725,0.015703141757261715,1391,0,0,86715.6504,27820.0,58895.6504
BALANCED,1392,0.01,584,808,84731,2458,0.41954022988505746,0.19197896120973043,0.009445983703339997,0.015714430859890948,1392,0,0,86715.6504,27840.0,58875.6504
BALANCED,1393,0.01,584,809,84730,2458,0.4192390524048816,0.19197896120973043,0.00945767427723027,0.01572571996252018,1393,0,0,86715.6504,27860.0,58855.6504
BALANCED,1394,0.01,584,810,84729,2458,0.41893830703012913,0.19197896120973043,0.009469364851120541,0.01573700906514941,1394,0,0,86715.6504,27880.0,58835.6504
BALANCED,1395,0.01,584,811,84728,2458,0.41863799283154124,0.19197896120973043,0.009481055425010813,0.015748298167778643,1395,0,0,86715.6504,27900.0,58815.6504
BALANCED,1396,0.01,584,812,84727,2458,0.4183381088825215,0.19197896120973043,0.009492745998901085,0.015759587270407875,1396,0,0,86715.6504,27920.0,58795.6504
BALANCED,1397,0.01,584,813,84726,2458,0.4180386542591267,0.19197896120973043,0.009504436572791358,0.015770876373037108,1397,0,0,86715.6504,27940.0,58775.6504
BALANCED,1398,0.01,584,814,84725,2458,0.4177396280400572,0.19197896120973043,0.009516127146681631,0.01578216547566634,1398,0,0,86715.6504,27960.0,58755.6504
BALANCED,1399,0.01,584,815,84724,2458,0.4174410293066476,0.19197896120973043,0.009527817720571903,0.01579345457829557,1399,0,0,86715.6504,27980.0,58735.6504
BALANCED,1400,0.01,584,816,84723,2458,0.41714285714285715,0.19197896120973043,0.009539508294462175,0.015804743680924802,1400,0,0,86715.6504,28000.0,58715.6504
BALANCED,1401,0.01,584,817,84722,2458,0.41684511063526053,0.19197896120973043,0.009551198868352448,0.015816032783554035,1401,0,0,86715.6504,28020.0,58695.6504
BALANCED,1402,0.01,584,818,84721,2458,0.4165477888730385,0.19197896120973043,0.00956288944224272,0.015827321886183267,1402,0,0,86715.6504,28040.0,58675.6504
BALANCED,1403,0.01,584,819,84720,2458,0.41625089094796863,0.19197896120973043,0.009574580016132992,0.0158386109888125,1403,0,0,86715.6504,28060.0,58655.6504
BALANCED,1404,0.01,584,820,84719,2458,0.41595441595441596,0.19197896120973043,0.009586270590023264,0.015849900091441733,1404,0,0,86715.6504,28080.0,58635.6504
BALANCED,1405,0.01,585,820,84719,2457,0.41637010676156583,0.19230769230769232,0.009586270590023264,0.015861189194070962,1405,0,0,87915.6504,28100.0,59815.6504
BALANCED,1406,0.01,585,821,84718,2457,0.41607396870554764,0.19230769230769232,0.009597961163913536,0.015872478296700195,1406,0,0,87915.6504,28120.0,59795.6504
BALANCED,1407,0.01,585,822,84717,2457,0.4157782515991471,0.19230769230769232,0.009609651737803808,0.015883767399329427,1407,0,0,87915.6504,28140.0,59775.6504
BALANCED,1408,0.01,585,823,84716,2457,0.41548295454545453,0.19230769230769232,0.009621342311694082,0.01589505650195866,1408,0,0,87915.6504,28160.0,59755.6504
